# EntrezGeneId,ABAGeneSymbol
13001,Csnk2b
13002,Dnajc5
13003,Cspg2
13004,Cspg3
13006,Smc3
13007,Csrp1
13008,Csrp2
13009,Csrp3
13010,Cst3
13011,Cst7
13012,Cst8
13013,Cst9
13014,Cstb
13016,Ctbp1
13017,Ctbp2
13018,Ctcf
13019,Ctf1
13024,Ctla2a
13026,Pcyt1a
13030,Ctsb
13032,Ctsc
13033,Ctsd
13034,Ctse
13035,Ctsg
13036,Ctsh
13038,Ctsk
13039,Ctsl
13040,Ctss
13041,Ctsw
13043,Cttn
13046,Cugbp1
13047,Cutl1
13048,Cutl2
13051,Cx3cr1
13052,Cxadr
13056,Cyb561
13057,Cyba
13058,Cybb
13063,Cycs
13067,Cyct
13070,Cyp11a1
13074,Cyp17a1
13075,Cyp19a1
13076,Cyp1a1
13077,Cyp1a2
13078,Cyp1b1
13079,Cyp21a1
13081,Cyp24a1
13082,Cyp26a1
13085,Cyp2a12
13086,Cyp2a4
13087,Cyp2a5
13090,Cyp2b19
13096,Cyp2c37
13097,Cyp2c38
13101,Cyp2d10
13105,Cyp2d9
13106,Cyp2e1
13107,Cyp2f2
13108,Cyp2g1
13109,Cyp2j5
13110,Cyp2j6
13112,Cyp3a11
13113,Cyp3a13
13115,Cyp27b1
13116,Cyp46a1
13117,Cyp4a10
13119,Cyp4a14
13121,Cyp51
13122,Cyp7a1
13123,Cyp7b1
13124,Cyp8b1
13131,Dab1
13132,Dab2
13134,Dach1
13135,Dad1
13137,Daf2
13138,Dag1
13139,Dgka
13142,Dao1
13143,Dapk2
13144,Dapk3
13162,Slc6a3
13163,Daxx
13164,Dazl
13166,Dbh
13167,Dbi
13168,Dbil5
13169,Dbnl
13170,Dbp
13171,Dbt
13172,Dbx1
13175,Dcamkl1
13176,Dcc
13177,Dci
13178,Dck
13179,Dcn
13180,Pcbd1
13184,Dcpp
13185,Dscr3
13190,Dct
13191,Dctn1
13193,Dcx
13195,Ddc
13196,Ddef1
13197,Gadd45a
13198,Ddit3
13199,Ddn
13200,Ddost
13202,Ddt
13204,Dhx15
13205,Ddx3x
13206,Ddx4
13207,Ddx5
13209,Ddx6
13211,Dhx9
13214,Defb1
13218,Defcr-rs1
13244,Degs1
13340,Slc29a2
13345,Twist2
13346,Des
13347,Dffa
13349,Darc
13350,Dgat1
13353,Dgcr6
13356,Dgcr2
13358,Slc25a1
13360,Dhcr7
13361,Dhfr
13363,Dhh
13367,Diap1
13368,Dffb
13370,Dio1
13371,Dio2
13380,Dkk1
13382,Dld
13383,Dlgh1
13384,Mpp3
13385,Dlgh4
13386,Dlk1
13388,Dll1
13390,Dlx1
13392,Dlx2
13393,Dlx3
13394,Dlx4
13395,Dlx5
13396,Dlx6
13401,Dmwd
13404,Dmc1h
13405,Dmd
